Baralho,Enunciado,A,B,C,D,E,RESPOSTA,Dificuldade
Pseudocódigo,"Qual é a saída do código abaixo?

INTEIRO i ← 5
ENQUANTO (i >= 0) FAÇA
    SE (i == 0)    
        IMPRIMA(“*”)
    SENÃO SE (i % 2 == 0)    
        IMPRIMA(“#”)
    SENÃO
        IMPRIMA(“_”)
    i ← i - 1
",_#_#_*,*_#_#_,_#_#_#,#_#_#*,#_#_*,A,4
Pseudocódigo,"Qual é a saída do código abaixo?

INTEIRO i, j
PARA (i ← 0; i < 2; i++)
    PARA (j ← 0; i < 2; j++)
        SE (i > j)
            IMPRIMA(“_”)
        SENÃO
            IMPRIMA(“#”)
",###_,##_#,#__#,_#_#,###_,B,4
Pseudocódigo,"Para que o código abaixo imprima “012345”, qual trecho está faltando?

INTEIRO i ← 0
ENQUANTO (_______) FAÇA
    IMPRIMA(i)
    i ← i + 1
",i > 0,i < 5,i <= 4,i > 4,i <= 5,E,3
Pseudocódigo,"Complete o código que identifica se um número é par ou ímpar.

INTEIRO num
LEIA (num)
SE (___________)    
    IMPRIMA(“PAR”)
SENÃO
    IMPRIMA(“ÍMPAR”)
",num / 2 == 1,num / 2 == 0,num * 2 == 1,num % 2 == 1,num % 2 == 0,E,2
Pseudocódigo,"Complete o código que identifica se um triângulo de lados a/b/c é equilátero (lados iguais).

REAL a, b, c
LEIA (a, b, c)
SE (___________)
    IMPRIMA(“É equilátero.”)",a != b && b != c,a == b && b == c,a > b && b > c,a != b || b != c,a == b || b == c,B,3
Pseudocódigo,"Qual das expressões abaixo resulta em Verdadeiro considerando que A ← 0 e B ← 2 ?

",(5 < A) || (B < 3),(5 > A) && (B < 2),(A > 0) || (B < 0),(A > 2) && (B > 0),(5 > A) && (B > 2),A,2
Pseudocódigo,"Qual o tipo da variável x no código abaixo?

______ x ← Verdadeiro
SE (x)
    IMPRIMA(“Sim”)
SENÃO
    IMPRIMA(“Não”)
",Inteiro,Real,Lógico,Caractere,Vetor,C,1
Pseudocódigo,"Qual o tipo das variáveis raio e pi no código abaixo?


______ raio ← 5.75
______ pi ← 3.14159
IMPRIMA(pi * raio * raio)
",Inteiro,Real,Lógico,Caractere,Vetor,B,1
Pseudocódigo,"Qual valor deverá ser preenchido para que o programa abaixo não entre em um loop infinito?

INTEIRO num ← 5
ENQUANTO (_______) FAÇA
    IMPRIMA(num)
    num ← num - 1

","Verdadeiro
",n <= 5,n < 6,n > 0,n > 0 || n < 5,D,3
Pseudocódigo,"Qual o valor de x, y e temp, respectivamente, ao final do código?

INTEIRO x ← 10, y ← 500, temp
temp ← x
x ← y
y ← temp
","10, 10, 500","500, 10, 10","10, 500, 10
","10, 10, 10","500, 500, 10",B,1
Pseudocódigo,"Qual é a saída do código abaixo?

INTEIRO i, num ← 4
PARA (i ← 0; i < 5; i++)
    SE (i < num)
        IMPRIMA(“-”)
    SENÃO SE (i == num)
        IMPRIMA(“=”)
    SENÃO
        IMPRIMA(“+”)
",+=---,--=++,---=+,---++,----=,E,5
Pseudocódigo,"O que será impresso no código abaixo?

INTEIRO a ← 3, b ← 0, c ← 7
SE (a > b && a > c)
    IMPRIMA(a)
SENÃO SE (b > a && b > c)
    IMPRIMA(b)
SENÃO
    IMPRIMA(c)
",0,3,7,10,Nada,C,2
Pseudocódigo,"Qual a saída do código abaixo?

INTEIRO vetor[4] ← [3, 1, 9, 8]
INTEIRO maior ← 0
PARA (i ← 0; i < 4, i++)
    SE (vetor[i] > maior)
        maior = vetor[i]
IMPRIMA(maior)
",3,0,9,8,4,C,5
Pseudocódigo,"Qual a saída do código abaixo?

INTEIRO vetor[4] ← [6, 7, 3, 1]
INTEIRO menor ← 0
PARA (i ← 0; i < 4, i++)
    SE (vetor[i] < menor)
        menor = vetor[i]
IMPRIMA(menor)
",6,7,3,1,0,E,5
Pseudocódigo,"Qual número deverá ser preenchido no código abaixo para ser impresso “4321”?

INTEIRO num ← ___
ENQUANTO (num > 0) FAÇA
    IMPRIMA(num)
    num ← num - 1
",0,1,2,3,4,E,3
